commit	cv_rmse	cv_mae	cv_wape	status	description
1d3b346	1.545885	0.698180	0.710848	keep	baseline rerun after leakage-safe lag features + fill_null(0)
65d0ce0	1.539275	0.693647	0.705978	keep	lgbm: lr 0.03, 1800 trees, 127 leaves, reg tuned
65d0ce0	1.606045	0.698785	0.711541	discard	xgb baseline params
65d0ce0	1.558785	0.695122	0.707986	discard	xgb tuned: depth6 lr0.03 1400 trees
65d0ce0	1.543567	0.695077	0.708024	discard	lgbm smaller leaves stronger reg
65d0ce0	1.540069	0.696436	0.709468	discard	lgbm tweedie power 1.1 + 2000 trees
65d0ce0	1.683802	0.708974	0.719977	discard	xgb depth10 tweedie1.4
65d0ce0	1.541390	0.694896	0.707319	discard	lgbm lr0.02 2500 trees leaves95
65d0ce0	1.553766	0.702401	0.714142	discard	xgb shallow regularized depth4
65d0ce0	1.539561	0.692305	0.704981	discard	lgbm leaves255 min_child80 stronger reg
65d0ce0	1.563774	0.700729	0.713944	discard	xgb depth6 tweedie1.1 1000 trees
65d0ce0	1.542219	0.694560	0.707021	discard	lgbm leaves95 min_child30 2200 trees
8fc72c0	1.538653	0.692738	0.705538	keep	lgbm lr0.025 2600 trees leaves127
8fc72c0	1.560269	0.694909	0.707791	discard	xgb tuned lr0.025 depth6 1800 trees
8fc72c0	1.545425	0.697092	0.709302	discard	lgbm leaves63 lr0.03 2200 trees
2d3c103	1.536991	0.694302	0.706996	keep	lgbm lr0.025 2600 trees tweedie1.2
2d3c103	1.550763	0.699491	0.711835	discard	xgb reg-strong depth5 tweedie1.2
2d3c103	1.538414	0.693698	0.706261	discard	lgbm no subsampling (1.0/1.0)
263477a	1.536788	0.694709	0.707394	keep	lgbm min_child100 alpha0.3 lambda3 tweedie1.2
263477a	1.553232	0.703993	0.715750	discard	xgb very shallow highly regularized
263477a	1.539947	0.694731	0.707850	discard	lgbm 3000 trees lr0.02 leaves95 strong reg
263477a	2.093177	1.140388	1.222623	discard	catboost e1 tweedie1.2 depth8 iter2000 lr0.03
263477a	2.176229	1.174956	1.253053	discard	catboost e2 tweedie1.3 depth6 iter3000 lr0.02 l2=12
263477a	2.043005	1.098166	1.193357	discard	catboost e3 tweedie1.1 depth10 iter1500 lr0.05
263477a	2.111036	1.146208	1.227906	discard	catboost e4 tweedie1.2 depth7 iter2500 l2=20 subsample0.8
263477a	2.117668	1.141003	1.221013	discard	catboost e5 tweedie1.5 depth8 iter1200 lr0.04
3b5c27f	1.952446	1.034822	1.140166	discard	catboost native-cat e6 tweedie1.2 depth8 iter2500 lr0.03
3b5c27f	2.383440	1.339290	1.388560	discard	catboost native-cat e7 tweedie1.1 depth10 iter3000 lr0.02
cd8d4fe	1.536602	0.695189	0.708167	keep	lgbm run1: tweedie power 1.15
cd8d4fe	1.536636	0.695827	0.708877	discard	lgbm run2: leaves95 min_child120 (with tweedie1.15)
